codice_articolo,famiglia,capitolo,sottocapitolo,descrizione,unita_misura,prezzo_senza_sg_ut,spese_generali,oneri_sicurezza_impresa,utile_impresa,prezzo_finale,quota_manodopera,incidenza_manodopera
SAR24_AT.0002.0001.0008,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MACCHINARIO VARIO già esistente in cantiere, esclusi consumi, accessori e manutenzione ed escluso il personale di manovra VERRICELLO",ora,7.93032,1.18955,0.01784,0.91199,10.03,,
SAR24_AT.0002.0001.0009,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MACCHINARIO VARIO già esistente in cantiere, esclusi consumi, accessori e manutenzione ed escluso il personale di manovra. TRAPANO elettrico vibrante, per murature e calcestruzzi. Utilizzo anche per opere marittime",ora,0.19581,0.02937,0.00044,0.02252,0.25,,
SAR24_AT.0002.0001.0010,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MARTELLO DEMOLITORE IDRAULICO da montare su macchina operatrice, esclusi consumi ed operatore peso kg 80/100. Utilizzo per opere marittime",ora,1.78405,0.26761,0.00401,0.20517,2.26,,
SAR24_AT.0002.0001.0011,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"NOLO DI MATERIALE PER PONTEGGIO DI FACCIATA IN TELAI PREFABBRICATI, con autorizzazione ministeriale, valutato per m² 1.00 di sola struttura metallica di ponteggio e riferito al primo mese di nolo, franco deposito noleggiatore euro/nl/mq",m²,4.00324,0.60049,0.00901,0.46037,5.06,,
SAR24_AT.0002.0002.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,"""MOTOPOMPA O ELETTROPOMPA da 6"""" per impianto WELLPOINT, da 20/25 HP, del tipo ad aspirazione ad alto vuoto, con portata oraria di m³ 100, già funzionante in cantiere, escluso l’operatore, i consumi, i ricambi e gli oneri di manutenzione a giorno solare""",giorno,99.37382,14.90607,0.22359,11.42799,125.71,,
SAR24_AT.0002.0002.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,"MOTOPOMPA o elettropompa, di prevalenza fino a 20 m, per esaurimento di acque chiare esclusi consumi, dotazioni e il personale addetto con bocca erogazione fino a 100 mm.",ora,9.99721,1.49958,0.02249,1.14968,12.65,,
SAR24_AT.0002.0002.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,"MOTOPOMPA o elettropompa, di prevalenza fino a 25 m, per esaurimento di acque chiare esclusi consumi, dotazioni e il personale addetto con bocca erogazione SINO A 150 mm.",ora,12.84734,1.9271,0.02891,1.47744,16.25,,
SAR24_AT.0002.0002.0004,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,"MOTOPOMPA o elettropompa, di prevalenza fino a 20 m, per esaurimento di acque chiare esclusi consumi, dotazioni e il personale addetto con bocca erogazione SINO A 200 mm.",ora,15.70835,2.35625,0.03534,1.80646,19.87,,
SAR24_AT.0002.0002.0005,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,"MOTOPOMPA o elettropompa, di prevalenza fino a 25 m, per esaurimento di acque chiare esclusi consumi, dotazioni e il personale addetto con bocca erogazione SINO A 250 mm.",ora,32.13468,4.8202,0.0723,3.69549,40.65,,
SAR24_AT.0002.0002.0006,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,"MOTOPOMPA o elettropompa, di prevalenza fino a 20 m, per esaurimento di acque chiare esclusi consumi, dotazioni e il personale addetto con bocca erogazione SINO A 300 mm.",ora,45.12344,6.76852,0.10153,5.1892,57.08,,
SAR24_AT.0002.0003.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per sollevamento materiale,"AUTOGRU TELESCOPICA AUTOCARRATA esclusi il conducente/operatore, consumi di carburante e lubrificanti, ricambi, manutenzione, assicurazione e bollo con braccio fino a 40 m e portata 100 t",ora,57.61179,8.64177,0.12963,6.62536,72.88,,
SAR24_AT.0002.0003.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per sollevamento materiale,"AUTOGRU TELESCOPICA AUTOCARRATA esclusi il conducente/operatore, consumi di carburante e lubrificanti, ricambi, manutenzione, assicurazione e bollo con braccio fino a 25 m e portata 30 t",ora,25.60766,3.84115,0.05762,2.94488,32.39,,
SAR24_AT.0002.0003.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per sollevamento materiale,"AUTOGRU TELESCOPICA AUTOCARRATA esclusi il conducente/operatore, consumi di carburante e lubrificanti, ricambi, manutenzione, assicurazione e bollo con braccio fino a 22 m e portata 20 t",ora,21.02787,3.15418,0.04731,2.4182,26.6,,
SAR24_AT.0002.0003.0004,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per sollevamento materiale,"AUTOGRU TELESCOPICA AUTOCARRATA esclusi il conducente/operatore, consumi di carburante e lubrificanti, ricambi, manutenzione, assicurazione e bollo con braccio fino a 32 m e portata 40 t",ora,25.77083,3.86562,0.05798,2.96364,32.6,,
SAR24_AT.0002.0004.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,NOLO A FREDDO DI ATTREZZATURA DI PERFORAZIONE di pali per diametri fino 600 mm,ora,10.97627,1.64644,0.0247,1.26227,13.88,,
SAR24_AT.0002.0004.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,NOLO A FREDDO DI ATTREZZATURA DI PERFORAZIONE di pali per diametri da 600 a 1500 mm,ora,18.2974,2.74461,0.04117,2.1042,23.15,,
SAR24_AT.0002.0004.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,"ATTREZZATURA DI PERFORAZIONE a rotazione per sondaggi geognostici, sia a carotaggio continuo, sia a distruzione di nucleo, già funzionante in cantiere, escluso il consumo di aste, manicotti, corone o punte, gli operatori, i consumi, i lubrificanti, i ricambi e gli oneri di manutenzione",ora,16.91585,2.53738,0.03806,1.94532,21.4,,
SAR24_AT.0002.0004.0004,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,"ATTREZZATURA SEMOVENTE DI PERFORAZIONE di micropali, per l’esecuzione a rotazione a distruzione di nucleo, per diametri fino a 220 mm, con motore Diesel, già funzionante in cantiere, escluso il consumo di aste, manicotti e punte, gli operatori addetti, i consumi di carburanti e lubrificanti, i ricambi e gli oneri di manutenzione, ma compresa l’assicurazione",ora,25.60766,3.84115,0.05762,2.94488,32.39,,
SAR24_AT.0002.0004.0005,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,"ATTREZZATURA DI PERFORAZIONE ED INIEZIONE per consolidamenti colonnari tipo JET- GROUTING semovente, già funzionante in cantiere, esclusi gli operatori, i consumi di carburanti e lubrificanti, i ricambi e gli oneri di manutenzione e compreso l’assicurazione",ora,41.15284,6.17293,0.09259,4.73258,52.06,,
SAR24_AT.0002.0004.0006,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,"ATTREZZATURA PER INIEZIONI di miscele cementizie, a doppio pistone ed azionamento ad aria compressa, completa di miscelatore azionato da motore elettrico, completa di m 50 di tubazione, escluse le valvole per i tubi, già funzionante in cantiere, escluso gli operatori addetti, i consumi, i ricambi e gli oneri di manutenzione, ma compresa l’assicurazione",ora,13.90254,2.08538,0.03128,1.59879,17.59,,
SAR24_AT.0002.0005.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura vibrante,NOLO A FREDDO DI ATTREZZATURA VIBRANTE da montare su escavatore per infissione e svellimento di palancole,ora,7.32114,1.09817,0.01647,0.84193,9.26,,
SAR24_AT.0002.0006.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Spruzzatrice per gunite,"SPRUZZATRICE PER GUNITE (SPRITZ-BETON) azionata da motore elettrico da 37 KW, dotata di tramoggia per la miscela, di serbatoio per silicati, di pompe per acqua e per acceleranti, di tubazione e lancia, per produzioni fino a 25 m³/ora e spinta sul calcestruzzo fino a 70 BAR, già funzionante in cantiere, escluso gli operatori addetti, i consumi, i ricambi e gli oneri di manutenzione, ma compresa l’assicurazione",ora,15.54518,2.33178,0.03498,1.7877,19.66,,
SAR24_AT.0002.0007.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura battipalo,"ATTREZZATURA BATTIPALO per l’infissione di pali prefabbricati in CAC montata su escavatore attrezzato a traliccio, di adeguata potenza, già funzionante in cantiere, escluso l’operatore, i consumi di carburanti e lubrificanti, i ricambi e gli oneri di manutenzione, ma compresa l’assicurazione",ora,29.27367,4.39105,0.06587,3.36647,37.03,,
SAR24_AT.0002.0008.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura per prove idrauliche,"ATTREZZATURA PER PROVE IDRAULICHE, completa di tubazioni, di valvole e manometri, già funzionante in cantiere, escluso l’operatore, i consumi, i ricambi e gli oneri di manutenzione",ora,16.27403,2.4411,0.03662,1.87151,20.59,,
SAR24_AT.0002.0009.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura per prove penetrometriche,"ATTREZZATURA PENETROMETRICA con Penetrometro Dinamico Standard SCPT già funzionante in cantiere, escluso l’operatore, i consumi, i ricambi e gli oneri di manutenzione",ora,15.16443,2.27466,0.03412,1.74391,19.18,,
SAR24_AT.0002.0010.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura per diaframmi,"ATTREZZATURA PER DIAFRAMMI montato su escavatore cingolato, già funzionante in cantiere, escluso gli operatori, i consumi, i ricambi e gli oneri di manutenzione",ora,26.07543,3.91131,0.05867,2.99867,32.99,,
SAR24_AT.0002.0011.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Materiale per tubazioni,"""COLLETTORE DI ASPIRAZIONE, costituito da tubazione in acciaio zincato da 6"""", con attacco rapido, già esistente in cantiere, valutato per 100 m di collettore a giorno solare""",giorno,57.11139,8.56671,0.1285,6.56781,72.25,,
SAR24_AT.0002.0011.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Materiale per tubazioni,"""TUBAZIONE DI SCARICO, in acciaio zincato da 6"""", con attacco rapido, già esistente in cantiere, valutato per 20 m di tubazione a giorno solare""",giorno,5.71114,0.85667,0.01285,0.65678,7.22,,
SAR24_AT.0002.0012.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,"Attrezzatura di infissione aghi, aghi e punte filtranti","AGHI o PUNTE FILTRANTI di lunghezza media m 4.00 più il filtro, già esistente in cantiere, valutato per n. 70 punte a giorno solare",giorno,25.15077,3.77262,0.05659,2.89234,31.82,,
