codice_articolo,famiglia,capitolo,sottocapitolo,descrizione,unita_misura,prezzo_senza_sg_ut,spese_generali,oneri_sicurezza_impresa,utile_impresa,prezzo_finale,quota_manodopera,incidenza_manodopera
SAR24_PR.0023.0001.0013,PR,TUBI ACQUA IN ACCIAIO,Saldato,"Tubi in acciaio al carbonio L235 saldati longitudinalmente per condotte acqua conformi alla norma UNI EN 10224 - rivestimento esterno in polietilene estruso triplo strato rinforzato in accordo alla norma UNI 9099 R3R - rivestimento interno in resine epossidiche per uso alimentare spessore 250 micron conformi al D.M. 174/2004 - estremità lisce e/o smussate e/o bicchierate - barre di Iunghezza 11,80/13,50 m. DN 450",m,185.4174,27.81261,0.41719,21.323,234.55,,
SAR24_PR.0023.0001.0014,PR,TUBI ACQUA IN ACCIAIO,Saldato,"Tubi in acciaio al carbonio L235 saldati longitudinalmente per condotte acqua conformi alla norma UNI EN 10224 - rivestimento esterno in polietilene estruso triplo strato rinforzato in accordo alla norma UNI 9099 R3R - rivestimento interno in resine epossidiche per uso alimentare spessore 250 micron conformi al D.M. 174/2004 - estremità lisce e/o smussate e/o bicchierate - barre di Iunghezza 11,80/13,50 m. DN 500",m,208.7715,31.31572,0.46974,24.00872,264.1,,
SAR24_PR.0023.0001.0015,PR,TUBI ACQUA IN ACCIAIO,Saldato,"Tubi in acciaio al carbonio L235 saldati longitudinalmente per condotte acqua conformi alla norma UNI EN 10224 - rivestimento esterno in polietilene estruso triplo strato rinforzato in accordo alla norma UNI 9099 R3R - rivestimento interno in resine epossidiche per uso alimentare spessore 250 micron conformi al D.M. 174/2004 - estremità lisce e/o smussate e/o bicchierate - barre di Iunghezza 11,80/13,50 m. DN 600",m,239.607,35.94105,0.53912,27.5548,303.1,,
SAR24_PR.0023.0001.0016,PR,TUBI ACQUA IN ACCIAIO,Saldato,"Tubi in acciaio al carbonio L235 saldati longitudinalmente per condotte acqua conformi alla norma UNI EN 10224 - rivestimento esterno in polietilene estruso triplo strato rinforzato in accordo alla norma UNI 9099 R3R - rivestimento interno in resine epossidiche per uso alimentare spessore 250 micron conformi al D.M. 174/2004 - estremità lisce e/o smussate e/o bicchierate - barre di Iunghezza 11,80/13,50 m. DN 700",m,270.4425,40.56638,0.6085,31.10089,342.11,,
SAR24_PR.0023.0001.0017,PR,TUBI ACQUA IN ACCIAIO,Saldato,"Tubi in acciaio al carbonio L235 saldati longitudinalmente per condotte acqua conformi alla norma UNI EN 10224 - rivestimento esterno in polietilene estruso triplo strato rinforzato in accordo alla norma UNI 9099 R3R - rivestimento interno in resine epossidiche per uso alimentare spessore 250 micron conformi al D.M. 174/2004 - estremità lisce e/o smussate e/o bicchierate - barre di Iunghezza 11,80/13,50 m. DN 800",m,334.1355,50.12032,0.7518,38.42558,422.68,,
SAR24_PR.0023.0001.0018,PR,TUBI ACQUA IN ACCIAIO,Saldato,"Tubi in acciaio al carbonio L235 saldati longitudinalmente per condotte acqua conformi alla norma UNI EN 10224 - rivestimento esterno in polietilene estruso triplo strato rinforzato in accordo alla norma UNI 9099 R3R - rivestimento interno in resine epossidiche per uso alimentare spessore 250 micron conformi al D.M. 174/2004 - estremità lisce e/o smussate e/o bicchierate - barre di Iunghezza 11,80/13,50 m. DN 900",m,456.4665,68.46997,1.02705,52.49365,577.43,,
SAR24_PR.0023.0001.0019,PR,TUBI ACQUA IN ACCIAIO,Saldato,"Tubi in acciaio al carbonio L235 saldati longitudinalmente per condotte acqua conformi alla norma UNI EN 10224 - rivestimento esterno in polietilene estruso triplo strato rinforzato in accordo alla norma UNI 9099 R3R - rivestimento interno in resine epossidiche per uso alimentare spessore 250 micron conformi al D.M. 174/2004 - estremità lisce e/o smussate e/o bicchierate - barre di Iunghezza 11,80/13,50 m. DN 1000",m,507.0165,76.05248,1.14079,58.3069,641.38,,
SAR24_PR.0023.0001.0020,PR,TUBI ACQUA IN ACCIAIO,Saldato,"Tubi in acciaio al carbonio L235 saldati longitudinalmente per condotte acqua conformi alla norma UNI EN 10224 - rivestimento esterno in polietilene estruso triplo strato rinforzato in accordo alla norma UNI 9099 R3R - rivestimento interno in resine epossidiche per uso alimentare spessore 250 micron conformi al D.M. 174/2004 - estremità lisce e/o smussate e/o bicchierate - barre di Iunghezza 11,80/13,50 m. DN 1200",m,598.512,89.7768,1.34665,68.82888,757.12,,
SAR24_PR.0023.0001.0021,PR,TUBI ACQUA IN ACCIAIO,Saldato,"Tubi in acciaio al carbonio L235 saldati longitudinalmente per condotte acqua conformi alla norma UNI EN 10224 - rivestimento esterno in polietilene estruso triplo strato rinforzato in accordo alla norma UNI 9099 R3R - rivestimento interno in resine epossidiche per uso alimentare spessore 250 micron conformi al D.M. 174/2004 - estremità lisce e/o smussate e/o bicchierate - barre di Iunghezza 11,80/13,50 m. DN 1400",m,838.119,125.71785,1.88577,96.38368,1060.22,,
SAR24_PR.0023.0002.0001,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 40 - Spessore 2,6",m,17.6925,2.65388,0.03981,2.03464,22.38,,
SAR24_PR.0023.0002.0002,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 50 - Spessore 2,9",m,21.8376,3.27564,0.04913,2.51132,27.62,,
SAR24_PR.0023.0002.0003,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 65 - Spessore 2,9",m,27.65085,4.14763,0.06221,3.17985,34.98,,
SAR24_PR.0023.0002.0004,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 80 - Spessore 3,2",m,42.81585,6.42238,0.09634,4.92382,54.16,,
SAR24_PR.0023.0002.0005,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 100 - Spessore 4",m,52.1676,7.82514,0.11738,5.99927,65.99,,
SAR24_PR.0023.0002.0006,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 125 - Spessore 4,5",m,59.3457,8.90186,0.13353,6.82476,75.07,,
SAR24_PR.0023.0002.0007,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 150 - Spessore 4,5",m,84.06465,12.6097,0.18915,9.66744,106.34,,
SAR24_PR.0023.0002.0008,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 200 - Spessore 5,6",m,113.3331,16.99996,0.255,13.03331,143.37,,
SAR24_PR.0023.0002.0009,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 250 - Spessore 6,3",m,164.9952,24.74928,0.37124,18.97445,208.72,,
SAR24_PR.0023.0002.0010,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 300 - Spessore 7,1",m,203.9187,30.5878,0.45882,23.45065,257.96,,
SAR24_PR.0023.0002.0011,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 350 - Spessore 7,1",m,246.53235,36.97985,0.5547,28.35122,311.86,,
SAR24_PR.0023.0002.0012,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 400 - Spessore 8,0",m,281.4624,42.21936,0.63329,32.36818,356.05,,
SAR24_PR.0023.0002.0013,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 450 - Spessore 8,0",m,328.0695,49.21043,0.73816,37.72799,415.01,,
SAR24_PR.0023.0002.0014,PR,TUBI ACQUA IN ACCIAIO,Senza saldature,"TUBO ACQUA IN ACCIAIO S235 SENZA SALDATURE, RIVESTIMENTO PESANTE bituminoso rispondente alle norme UNI 5256/87, bitumatura interna conforme al D.M. n. 174 del 06/04/2004 (sostituisce la Circ. Min. Sanità n. 102 del 02/12/78), costruiti a punte lisce o a bicchiere secondo norme UNI EN 10224:2006. in canne da 10/12 m Diametro Nominale 500 - Spessore 8,8",m,364.92045,54.73807,0.82107,41.96585,461.62,,
SAR24_PR.0024.0001.0001,PR,TUBI IN ACCIAIO ZINCATO,Tipo ROBUR,"TUBO ACCIAIO ZINCATO, tipo ROBUR, CON GIUNTO RAPIDO A TESTA SFERICA per pressioni di esercizio fino a 10 atm, in verghe da m 6.00 DN 80",cad.,12.35442,1.85316,0.0278,1.42076,15.63,,
SAR24_PR.0024.0001.0002,PR,TUBI IN ACCIAIO ZINCATO,Tipo ROBUR,"TUBO ACCIAIO ZINCATO, tipo ROBUR, CON GIUNTO RAPIDO A TESTA SFERICA per pressioni di esercizio fino a 10 atm, in verghe da m 6.00 DN 100",cad.,15.81204,2.37181,0.03558,1.81838,20.0,,
SAR24_PR.0024.0001.0003,PR,TUBI IN ACCIAIO ZINCATO,Tipo ROBUR,"TUBO ACCIAIO ZINCATO, tipo ROBUR, CON GIUNTO RAPIDO A TESTA SFERICA per pressioni di esercizio fino a 10 atm, in verghe da m 6.00 DN 120",cad.,20.40198,3.0603,0.0459,2.34623,25.81,,
SAR24_PR.0024.0001.0004,PR,TUBI IN ACCIAIO ZINCATO,Tipo ROBUR,"TUBO ACCIAIO ZINCATO, tipo ROBUR, CON GIUNTO RAPIDO A TESTA SFERICA per pressioni di esercizio fino a 10 atm, in verghe da m 6.00 DN 150",cad.,30.52209,4.57831,0.06867,3.51004,38.61,,
SAR24_PR.0025.0001.0001,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO ZINCATO SENZA SALDATURE, filettati in Fe330, a norme UNI EN 10255:2007, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 1/2""""""",m,5.54028,0.83104,0.01247,0.63713,7.01,,
SAR24_PR.0025.0001.0002,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO ZINCATO SENZA SALDATURE,UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 3/4"""". spess. 2,3 mm peso non inferiore a kg. 1,45., zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 3/4""""""",m,5.70204,0.85531,0.01283,0.65574,7.21,,
SAR24_PR.0025.0001.0003,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO ZINCATO SENZA SALDATURE, UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 1"""". spess. 2,9 mm peso non inferiore a kg. 2,28, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 1""""""",m,7.8858,1.18287,0.01774,0.90687,9.98,,
SAR24_PR.0025.0001.0004,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO ZINCATO SENZA SALDATURE, UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 1""""1/4. spess. 2,9 mm peso non inferiore a kg. 2,92, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 1""""+1/4""",m,9.94824,1.49224,0.02238,1.14405,12.58,,
SAR24_PR.0025.0001.0005,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO ZINCATO SENZA SALDATURE, UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 1""""1/2. spess. 2,9 mm peso non inferiore a kg. 3,35, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 1""""+1/2""",m,11.16144,1.67422,0.02511,1.28357,14.12,,
SAR24_PR.0025.0001.0006,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO ZINCATO SENZA SALDATURE, UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 2"""". spess. 3,2 mm peso non inferiore a kg. 4,63, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 2""""""",m,15.04368,2.25655,0.03385,1.73002,19.03,,
SAR24_PR.0025.0001.0007,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO ZINCATO SENZA SALDATURE,UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 2""""+1/2. spess. 3,2 mm peso non inferiore a kg. 5,91, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 2""""+1/2""",m,19.28988,2.89348,0.0434,2.21834,24.4,,
SAR24_PR.0025.0001.0008,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO ZINCATO SENZA SALDATURE, UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 3"""". spess. 3,6 mm peso non inferiore a kg. 7,76, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m.  Diametro Nominale DN 3""""""",m,26.20512,3.93077,0.05896,3.01359,33.15,,
SAR24_PR.0025.0001.0009,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO ZINCATO SENZA SALDATURE, UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 4"""". spess. 4,0 mm peso non inferiore a kg. 11,08, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 4""""""",m,39.06504,5.85976,0.0879,4.49248,49.42,,
SAR24_PR.0025.0001.0010,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO NERO LISCIO SENZA SALDATURE filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 1/2""""""",m,3.8418,0.57627,0.00864,0.44181,4.86,,
SAR24_PR.0025.0001.0011,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO NERO LISCIO SENZA SALDATURE filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 1""""+1/4""",m,8.42163,1.26324,0.01895,0.96849,10.65,,
SAR24_PR.0025.0001.0012,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO NERO LISCIO SENZA SALDATURE filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 1""""+1/2""",m,9.83703,1.47555,0.02213,1.13126,12.44,,
SAR24_PR.0025.0001.0013,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO NERO LISCIO SENZA SALDATURE filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 3""""""",m,23.0508,3.45762,0.05186,2.65084,29.16,,
SAR24_PR.0025.0001.0014,PR,TUBI IN ACCIAIO,Tubo senza saldature,"""TUBO ACCIAIO ZINCATO SENZA SALDATURE, filettati in Fe330, a norme UNI EN 10255:2007, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 3/8""""""",m,5.16621,0.77493,0.01162,0.59411,6.54,,
SAR24_PR.0025.0002.0001,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO ZINCATO SALDATO UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 3/4"""". spess. 2,6 mm peso non inferiore a kg. 1,45, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 3/4""""""",m,3.51828,0.52774,0.00792,0.4046,4.45,,
SAR24_PR.0025.0002.0002,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO ZINCATO SALDATO UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 1"""". spess. 2,6 mm peso non inferiore a kg. 2,28, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m.  Diametro Nominale 1""""""",m,4.97412,0.74612,0.01119,0.57202,6.29,,
SAR24_PR.0025.0002.0003,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO ZINCATO SALDATO UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 1""""+1/4. spess. 2,9 mm peso non inferiore a kg. 2,92, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m.. Diametro Nominale 1""""+1/4""",m,6.42996,0.96449,0.01447,0.73944,8.13,,
SAR24_PR.0025.0002.0004,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO ZINCATO SALDATOUNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 1""""+1/2. spess. 2,9 mm peso non inferiore a kg. 3.35, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m.Diametro Nominale 1""""+1/2""",m,7.40052,1.11008,0.01665,0.85106,9.36,,
SAR24_PR.0025.0002.0005,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO ZINCATO SALDATO UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 2"""". spess. 3,2 mm peso non inferiore a kg. 4,63, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 2""""""",m,10.19088,1.52863,0.02293,1.17195,12.89,,
SAR24_PR.0025.0002.0006,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO ZINCATO SALDATO UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 2""""+1/2. spess.3,2  mm peso non inferiore a kg. 5,91, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m. Diametro Nominale 2""""+1/2""",m,13.3452,2.00178,0.03003,1.5347,16.88,,
SAR24_PR.0025.0002.0007,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO ZINCATO SALDATO UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 3"""". spess.3,6  mm peso non inferiore a kg.7,76, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m.Diametro Nominale 3""""""",m,17.34876,2.60231,0.03903,1.99511,21.95,,
SAR24_PR.0025.0002.0008,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO ZINCATO SALDATO UNI EN 10255:2007, zincati a norma  UNI EN 10240:1999 A1 ed alle vigenti disposizioni in materia di prevenzione incendi, corredato dalle previste certificazioni. tipo pollici DN 4"""". spess.3,6  mm peso non inferiore a kg. 9.90, zincata caldo, marchiati a vernice con nome del produttore, diametro e norme di riferimento, estremità filettate, forniti in barre da 6 m.. Diametro Nominale 4""""""",m,26.6904,4.00356,0.06005,3.0694,33.76,,
SAR24_PR.0025.0002.0009,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO NERO LISCIO SALDATO filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 3/4""""""",m,2.91168,0.43675,0.00655,0.33484,3.68,,
SAR24_PR.0025.0002.0010,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO NERO LISCIO SALDATO filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 1""""""",m,4.49895,0.67484,0.01012,0.51738,5.69,,
SAR24_PR.0025.0002.0011,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO NERO LISCIO SALDATO filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 1""""+1/4""",m,5.71215,0.85682,0.01285,0.6569,7.23,,
SAR24_PR.0025.0002.0012,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO NERO LISCIO SALDATO filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 1""""+1/2""",m,6.56139,0.98421,0.01476,0.75456,8.3,,
SAR24_PR.0025.0002.0013,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO NERO LISCIO SALDATO filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 2""""""",m,9.02823,1.35423,0.02031,1.03825,11.42,,
SAR24_PR.0025.0002.0014,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO NERO LISCIO SALDATO filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 2""""+1/2""",m,11.58606,1.73791,0.02607,1.3324,14.66,,
SAR24_PR.0025.0002.0015,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO NERO LISCIO SALDATO filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 3""""""",m,15.41775,2.31266,0.03469,1.77304,19.5,,
SAR24_PR.0025.0002.0016,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO NERO LISCIO SALDATO filettati in Fe330, a norma UNI EN 10255:2007, marchiati a punzone, forniti in barre da 6 m. Diametro Nominale 4""""""",m,21.95892,3.29384,0.04941,2.52528,27.78,,
SAR24_PR.0025.0002.0017,PR,TUBI IN ACCIAIO,Tubo saldato,"""TUBO ACCIAIO ZINCATO SALDATO FM DALMINE a vite e manicotto DN 3/8""""""",m,3.033,0.45495,0.00682,0.3488,3.84,,
