codice_analisi,codice_elemento,quantita,prezzo_unitario,importo
SAR24_PR.0066.0003.0012,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 4-9-4
SAR24_PR.0066.0003.0013,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 4-12-4
SAR24_PR.0066.0003.0014,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 4-15-4
SAR24_PR.0066.0003.0015,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 4-12-6/7
SAR24_PR.0066.0003.0016,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float colore latte spessore 4-12-6/7
SAR24_PR.0066.0003.0017,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float satinato spessore 4-12-6/7
SAR24_PR.0066.0003.0018,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 4-12-8/9
SAR24_PR.0066.0003.0019,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 4-12-10/11
SAR24_PR.0066.0003.0020,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 4-12-11/12
SAR24_PR.0066.0003.0021,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 6/7-12-6/7
SAR24_PR.0066.0003.0022,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 8/9-12-8/9
SAR24_PR.0066.0003.0023,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 6/7-12-10/11
SAR24_PR.0066.0003.0024,PR,VETRI E CRISTALLI,Vetro,VETROCAMERA ISOLANTE sigillato a freddo. composto da cristalli Float trasparenti incolore spessore 6/7-12-11/12
SAR24_PR.0067.0001.0001,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. di spessore 0.5 mm. larghezza 84 mm. altezza 16 mm. profilate con bordi arrotondati. colore corrente secondo campionario passo 111 mm
SAR24_PR.0067.0001.0002,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. di spessore 0.5 mm. larghezza 84 mm. altezza 16 mm. profilate con bordi arrotondati. colore corrente secondo campionario passo 100 mm
SAR24_PR.0067.0001.0003,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. di spessore 0.5 mm. larghezza 84 mm. altezza 16 mm. profilate con bordi arrotondati. colore corrente secondo campionario passo 90 mm
SAR24_PR.0067.0001.0004,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. spessore 0.5 mm. larghezza 84 mm. altezza 16 mm. con il 15% di area perforata con fori da 2 mm e passo 5 mm. profilate con bordi arrotondati. colore corrente secondo campionario. completo di materassino fonoassorbente in lana minerale. spessore 25 mm. imbustato in polietilene nero passo 111 mm
SAR24_PR.0067.0001.0005,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. spessore 0.5 mm. larghezza 84 mm. altezza 16 mm. con il 15% di area perforata con fori da 2 mm e passo 5 mm. profilate con bordi arrotondati. colore corrente secondo campionario. completo di materassino fonoassorbente in lana minerale. spessore 25 mm. imbustato in polietilene nero passo 100 mm
SAR24_PR.0067.0001.0006,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. spessore 0.5 mm. larghezza 84 mm. altezza 16 mm. con il 15% di area perforata con fori da 2 mm e passo 5 mm. profilate con bordi arrotondati. colore corrente secondo campionario. completo di materassino fonoassorbente in lana minerale. spessore 25 mm. imbustato in polietilene nero passo 90 mm
SAR24_PR.0067.0001.0007,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. spessore 0.5 mm. larghezza 84 mm. altezza 16 mm. passo 100 mm e profilate con bordi arrotondate. con interposto profili intermedi del tipo cieco posti a scatto fra doga e doga. colore laccato
SAR24_PR.0067.0001.0008,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO PER ESTERNI COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. spessore 0.6 mm. larghezza 80 mm. altezza 15 mm. passo 100 mm. colore corrente secondo campionario. completo di profili intermedi in alluminio posti a scatto fra doga e doga del tipo cieco e di clips antisganciamento e antivibrazioni
SAR24_PR.0067.0001.0009,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO MULTIMODULARE COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. spessore 0.5 mm. larghezza 30 mm. altezza 15 mm. passo 50 mm. profilate con bordi scatolati. colore corrente secondo campionario. completo di profili intermedi in alluminio posti a scatto fra doga e doga del tipo cieco
SAR24_PR.0067.0001.0010,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. spessore 0.5 mm. larghezza 84 mm. altezza 12.2 mm. passo 100 mm. profilate con giunto chiuso incassato colore corrente secondo campionario
SAR24_PR.0067.0001.0011,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. spessore 0.5 mm. larghezza 84 mm. altezza 12.2 mm. passo 100 mm. profilate con giunto chiuso incassato colore laccato
SAR24_PR.0067.0001.0012,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. spessore 0.5 mm. larghezza 84 mm. altezza 12.2 mm. passo 100 mm. profilate con giunto chiuso incassato. colore corrente secondo campionario. completo di materassino fonoassorbente in lana minerale spessore 25 mm imbustato in polietilene nero
SAR24_PR.0067.0001.0013,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO PER IMPIANTI SPORTIVI COMPOSTO DA DOGHE PIANE PREVERNICIATE. spessore 0.8 mm. larghezza 70 mm. altezza 25 mm. passo 100 mm. profilate con bordi a spigolo vivo. colore bianco. completo di clips di bloccaggio realizzate in alluminio preverniciato colore nero satinato e di materassino fonoassorbente in lana minerale. spessore 25 mm. imbustato in polietilene nero doghe in acciaio
SAR24_PR.0067.0001.0014,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO PER IMPIANTI SPORTIVI COMPOSTO DA DOGHE PIANE PREVERNICIATE. spessore 0.8 mm. larghezza 70 mm. altezza 25 mm. passo 100 mm. profilate con bordi a spigolo vivo. colore bianco. completo di clips di bloccaggio realizzate in alluminio preverniciato colore nero satinato e di materassino fonoassorbente in lana minerale. spessore 25 mm. imbustato in polietilene nero doghe in alluminio
SAR24_PR.0067.0001.0015,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO A SCHERMO COMPOSTO DA PANELLI RICAVATI DA NASTRO DI ALLUMINIO PREVERNICIATO. con bordi profilati. altezza 101 mm. spessore 0.6 mm. colore corrente secondo campionario passo 100 mm
SAR24_PR.0067.0001.0016,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO A SCHERMO COMPOSTO DA PANELLI RICAVATI DA NASTRO DI ALLUMINIO PREVERNICIATO. con bordi profilati. altezza 101 mm. spessore 0.6 mm. colore corrente secondo campionario passo 150 mm
SAR24_PR.0067.0001.0017,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO A SCHERMO COMPOSTO DA PANELLI RICAVATI DA NASTRO DI ALLUMINIO PREVERNICIATO. con bordi profilati. altezza 101 mm. spessore 0.6 mm. colore corrente secondo campionario passo 200 mm
SAR24_PR.0067.0001.0018,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO PER ESTERNI COMPOSTO DA DOGHE PIANE RICAVATE DA NASTRO D’ALLUMINIO PREVERNICIATO. spessore 0.5 mm. larghezza 84 mm. altezza 12.2 mm. passo 100 mm. colore corrente secondo campionario. profilate con giunto chiuso incassato
SAR24_PR.0067.0001.0019,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO GRIGLIATO A MAGLIA QUADRATA composto da elementi ricavati da nastro in alluminio preverniciato. colore corrente secondo cartella. maglie formate da profili ad U larghi 10 mm e alti 50 mm con bordi risbordati di 2.5 mm. dimensioni pannelli grigliati 600x1200 mm modulo 50x50 mm
SAR24_PR.0067.0001.0020,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO GRIGLIATO A MAGLIA QUADRATA composto da elementi ricavati da nastro in alluminio preverniciato. colore corrente secondo cartella. maglie formate da profili ad U larghi 10 mm e alti 50 mm con bordi risbordati di 2.5 mm. dimensioni pannelli grigliati 600x1200 mm modulo 75x75 mm
SAR24_PR.0067.0001.0021,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO GRIGLIATO A MAGLIA QUADRATA composto da elementi ricavati da nastro in alluminio preverniciato. colore corrente secondo cartella. maglie formate da profili ad U larghi 10 mm e alti 50 mm con bordi risbordati di 2.5 mm. dimensioni pannelli grigliati 600x1200 mm modulo 86x86 mm
SAR24_PR.0067.0001.0022,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO GRIGLIATO A MAGLIA QUADRATA composto da elementi ricavati da nastro in alluminio preverniciato. colore corrente secondo cartella. maglie formate da profili ad U larghi 10 mm e alti 50 mm con bordi risbordati di 2.5 mm. dimensioni pannelli grigliati 600x1200 mm modulo 100x100 mm
SAR24_PR.0067.0001.0023,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO GRIGLIATO A MAGLIA QUADRATA composto da elementi ricavati da nastro in alluminio preverniciato. colore corrente secondo cartella. maglie formate da profili ad U larghi 10 mm e alti 50 mm con bordi risbordati di 2.5 mm. dimensioni pannelli grigliati 600x1200 mm modulo 120x120 mm
SAR24_PR.0067.0001.0024,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO GRIGLIATO A MAGLIA QUADRATA composto da elementi ricavati da nastro in alluminio preverniciato. colore corrente secondo cartella. maglie formate da profili ad U larghi 10 mm e alti 50 mm con bordi risbordati di 2.5 mm. dimensioni pannelli grigliati 600x1200 mm modulo 150x150 mm
SAR24_PR.0067.0001.0025,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO GRIGLIATO A MAGLIA QUADRATA composto da elementi ricavati da nastro in alluminio preverniciato. colore corrente secondo cartella. maglie formate da profili ad U larghi 10 mm e alti 50 mm con bordi risbordati di 2.5 mm. dimensioni pannelli grigliati 600x1200 mm modulo 200x200 mm
SAR24_PR.0067.0001.0026,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA PANNELLI CIECHI. dmensioni 600x600 mm. ricavati da nastro d’acciaio zincato dello spessore di 0.5 mm. con risbordi alti 35 mm e spigoli smussati. verniciatura eseguita con polveri a base di poliestere spessore minimo 70 micron. colore bianco RAL
SAR24_PR.0067.0001.0027,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA PANNELLI MICROFRATI. dimensioni 600x600 mm. ricavati da nastro d’acciaio zincato dello spessore di 0.5 mm. con risbordi alti 35 mm e spigoli smussati. superficie perforata 16%. diametro fori 025 mm. verniciato con polveri a base di poliestere dello spessore minimo di 70 micron. colore bianco RAL.completo di materassino fonoassorbente in lana minerale imbustata in polietilene nero dello spessore di 25 mm e densità 16 Kg/m³
SAR24_PR.0067.0001.0028,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA PANNELLI MICROFORATI SMONTABILI IN FIBRA MINERALE BASALTICA CON LEGANTI NATURALI. dimensioni 600x600 mm. esenti da amianto o formaldeide. superficie a vista bianca. spessore 15 mm. resistenti al fuoco REI 180. completo di struttura metallica di sostegno a vista in acciaio zincato verniciato colore bianco. e di materassino fonoassorbente in lana minerale imbustato in polietilene nero. spessore 25 mm struttura sostegno largh24 mm. alt38 mm
SAR24_PR.0067.0001.0029,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO COMPOSTO DA PANNELLI MICROFORATI SMONTABILI IN FIBRA MINERALE BASALTICA CON LEGANTI NATURALI. dimensioni 600x600 mm. esenti da amianto o formaldeide. superficie a vista bianca. spessore 15 mm. resistenti al fuoco REI 180. completo di struttura metallica di sostegno a vista in acciaio zincato verniciato colore bianco. e di materassino fonoassorbente in lana minerale imbustato in polietilene nero. spessore 25 mm struttura sostegno largh15 mm. alt38 mm
SAR24_PR.0067.0001.0030,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO ISPEZIONABILE REALIZZATO MEDIANTE PANNELLI IN GESSO ALLEGGERITO. con struttura completamente nascosta. dimensioni 600x600 mm. con diversi tipi di finitura: completamente liscia. leggermente bucciata o con fori rotondi non passanti
SAR24_PR.0067.0001.0031,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO ISPEZIONABILE REALIZZATO MEDIANTE PANNELLI IN GESSO ALLEGGERITO. con struttura semi-nascosta da 24 mm. resistenza al fuoco REI 120. dimensioni 600x600 mm. con diversi tipi di finitura: fessurata. granulata. con microperforazioni. a quadrotti. con decoro geometrico o con scanalature ondulate parallele
SAR24_PR.0067.0001.0032,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN GESSO RIVESTITO PREVERNICIATO IN COLORE BIANCO. con struttura nascosta. dimensioni 600x600 mm. spessore 12.5 mm. resistenza al fuoco Classe 0. con diversi tipi di foratura: lineare. quadrata regolare. quadrata regolare e banda centrale non perforata. tonda regolare. tonda regolare e banda centrale non perforata Tessuto fonoassorbente applicato sulla faccia non a vista
SAR24_PR.0067.0001.0033,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE LASTRE IN GESSO RIVESTITO NON VERNICIATO. dimensioni 1200x2400 mm. spessore 12.5 mm. resistenza al fuoco Classe 0. con foratura quadrata regolare e tessuto fonoassorbente applicato sulla faccia non a vista Le lastre hanno i quattro bordi assottigliati
SAR24_PR.0067.0001.0034,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN FIBRE MINERALI. colore bianco. con composti organici a debole biopersistenza come da direttiva europea CE 1272/2008. classe di reazione al fuoco 1. dimensioni 600x600x19mm I pannelli hanno una superficie liscia composta da un velo acustico permeabile al suono. resistente ai graffi e durevole. sul dorso presentano uno strato di primer vengono inseriti in appoggio sull’orditura di sostegno seminascosta
SAR24_PR.0067.0001.0035,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN FIBRE MINERALI. colore bianco. con composti organici a debole biopersistenza come da direttiva europea CE 1272/2008. classe di reazione al fuoco 1. dimensioni 600x600x22mm I pannelli hanno una superficie leggermente granulata con invisibili microperforazioni. sul dorso presentano uno strato di primer e vengono inseriti in appoggio sull’orditura di sostegno a vista
SAR24_PR.0067.0001.0036,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN FIBRE MINERALI. colore bianco. con composti organici a debole biopersistenza come da direttiva europea CE 1272/2008. classe di reazione al fuoco 1. dimensioni 600x600x20mm e 1200x600x20mm I pannelli hanno una superficie liscia composta da un velo acustico permeabile al suono. resistente ai graffi e durevole. sul dorso presentano un velo di vetro e vengono inseriti in appoggio sull’orditura di sostegno a vista
SAR24_PR.0067.0001.0037,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN FIBRE MINERALI. colore bianco. con composti organici a debole biopersistenza come da direttiva europea CE 1272/2008. classe di reazione al fuoco 1. dimensioni 600x600x25mm e 1200x600x25mm I pannelli hanno una superficie liscia composta da un velo acustico permeabile al suono. resistente ai graffi e durevole. sul dorso presentano un velo di vetro e vengono inseriti in appoggio sull’orditura di sostegno a vista
SAR24_PR.0067.0001.0038,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN FIBRE MINERALI. colore bianco. con composti organici a debole biopersistenza come da direttiva europea CE 1272/2008. classe di reazione al fuoco 1. dimensioni 600x600x15mm I pannelli hanno una superficie liscia o finemente lavorata con sottili perforazioni irregolari caratterizzata da una verniciatura antimicrobica. che previene lo sviluppo di batteri. sul dorso presentano uno strato di primer e vengono inseriti in appoggio sull’orditura di sostegno a vista
SAR24_PR.0067.0001.0039,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN LEGNO LAMINATI con fogli a base di carte melamminiche pressate a caldo. su entrambi i lati. dimensioni 600x600x12mm I pannelli hanno una superficie liscia laminata ( essenze tipo Acero riccio. Pero. Tiglio) con verniciatura acrilica anti UV e vengono inseriti in appoggio sull’orditura di sostegno a vista
SAR24_PR.0067.0001.0040,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN LEGNO LAMINATI con fogli a base di carte melamminiche pressate a caldo. su entrambi i lati. dimensioni 600x600x12mm I pannelli hanno una superficie perforata laminata ( essenze tipo Acero riccio. Pero.Tiglio) con verniciatura acrilica anti UV e vengono inseriti in appoggio sull’orditura di sostegno a vista
SAR24_PR.0067.0001.0041,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN LEGNO IMPIALLACCIATO nell'essenza Ciliegio. Acero. Faggio. dimensioni 600x600x13mm I pannelli hanno una superficie liscia impiallacciata con verniciatura acrilica anti UV e vengono inseriti in appoggio sull'orditura di sostegno a vista
SAR24_PR.0067.0001.0042,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN LEGNO IMPIALLACCIATO nell'essenza Ciliegio. Acero. Faggio. dimensioni 600x600x13mm I pannelli hanno una superficie perforata impiallacciata con verniciatura acrilica anti UV e vengono inseriti in appoggio sull'orditura di sostegno a vista
SAR24_PR.0067.0001.0043,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELI IN ACCIAIO elettro-galvanizzato postverniciato mediante polveri di poliestere applicate con processo elettrostatico. dimensioni 600x600x24mm I pannelli hanno una superficie liscia o perforata e vengono installati dal basso su orditura di sostegno
SAR24_PR.0067.0001.0044,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN ALLUMINIO colore Bianco. Nero. Alluminio. resistenza al fuoco Classe 0. dimensioni 600x600x37mm. maglia da 75mm I pannelli vengono inseriti in appoggio sull'orditura di sostegno a vista da 15mm
SAR24_PR.0067.0001.0045,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN ALLUMINIO colore Bianco. Nero. Alluminio. resistenza al fuoco Classe 0. dimensioni 600x600x37mm. maglia da 100mm I pannelli vengono inseriti in appoggio sull'orditura di sostegno a vista da 15mm
SAR24_PR.0067.0001.0046,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN ALLUMINIO colore Bianco. Nero. Alluminio. resistenza al fuoco Classe 0. dimensioni 600x600x37mm. maglia da 150mm I pannelli vengono inseriti in appoggio sull'orditura di sostegno a vista da 15mm
SAR24_PR.0067.0001.0047,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI IN ALLUMINIO colore Bianco. Nero. Alluminio. resistenza al fuoco Classe 0. dimensioni 600x600x37mm. maglia da 200mm I pannelli vengono inseriti in appoggio sull'orditura di sostegno a vista da 15mm
SAR24_PR.0067.0001.0048,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI FONOASSORBENTI antisfondellamento in lana di legno mineralizzata. dimensioni  pannello 1200x600x25mm Lavorazione bordi  smussati sui 4 lati
SAR24_PR.0067.0001.0049,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI FONOASSORBENTI antisfondellamento antincendio EI60 in lana di legno mineralizzata. dimensioni  pannello 1200x600x40mm (legno cemento spess 25mm+ cartongesso antincendio spess 15mm) lavorazione bordi smussati sui 4 lati
SAR24_PR.0067.0001.0050,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI FONOASSORBENTI antisfondellamento  in lana di legno mineralizzata. dimensioni  pannello 600x600x25mm Pannello con lavorazione bordi dritti
SAR24_PR.0067.0001.0051,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI FONOASSORBENTI ribassato con struttura nascosta ispezionabile   in lana di legno mineralizzata. dimensioni  pannello 1200x600x35mm Pannello con lavorazione bordi ribassati e smussati sui 4 lati per profilo a scomparsa
SAR24_PR.0067.0001.0052,PR,CONTROSOFFITTI,Controsoffitto,CONTROSOFFITTO REALIZZATO MEDIANTE PANNELLI FONOASSORBENTI resistente ai colpi di palla con struttura metallica nascosta e pannelli avvitati  in lana di legno mineralizzata. dimensioni  pannello 1200x600x25mm Pannello con lavorazione bordi  smussati sui 4 lati
SAR24_PR.0067.0002.0001,PR,CONTROSOFFITTI,Struttura di sostegno,STRUTTURA DI SOSTEGNO in lamiera di acciaio pendini di sospensione. tiranti. ancoraggi. squadrette necessari per l’installazione del controsoffitti
SAR24_PR.0067.0002.0002,PR,CONTROSOFFITTI,Struttura di sostegno,Profilo portante universale per struttura da controsoffitto modulare ispezionabile in acciaio galvanizzato preverniciato rispondenti ai CAM Lunghezza 3600 mm e altezza uniforme da 38 mm. reazione al fuoco Euroclasse A1 secondo norma europea EN 13501-1 Per struttura a vista. seminascosta o nascosta con giunto a sormonto. colore bianco
SAR24_PR.0067.0002.0003,PR,CONTROSOFFITTI,Struttura di sostegno,Profilo intermedio universale per struttura da controsoffitto modulare ispezionabile in acciaio galvanizzato preverniciato rispondenti ai CAM Altezza uniforme da 38 mm. reazione al fuoco Euroclasse A1 secondo norma europea EN 13501-1 Per struttura a vista. seminascosta o nascosta con giunto a sormonto. lunghezza 600 mm. colore bianco
SAR24_PR.0067.0002.0004,PR,CONTROSOFFITTI,Struttura di sostegno,Profilo intermedio universale per struttura da controsoffitto modulare ispezionabile in acciaio galvanizzato preverniciato rispondenti ai CAM Altezza uniforme da 38 mm. reazione al fuoco Euroclasse A1 secondo norma europea EN 13501-1 Per struttura a vista. seminascosta o nascosta con giunto a sormonto. lunghezza 1200 mm. colore bianco
SAR24_PR.0067.0002.0005,PR,CONTROSOFFITTI,Struttura di sostegno,Profilo perimetrale a doppia L con angoli ribattuti per struttura da controsoffitto modulare ispezionabile in acciaio galvanizzato preverniciato. rispondenti ai CAM Reazione al fuoco Euroclasse A1 secondo norma europea EN 13501-1 Da 15 mm di lato a vista e 15 mm di lato installazione. spessore 0.5 mm. lunghezza 3050 mm. colore bianco. sezione 15x15x10x15
SAR24_PR.0067.0002.0006,PR,CONTROSOFFITTI,Struttura di sostegno,Profilo perimetrale a C  con angoli ribattuti per struttura da controsoffitto modulare ispezionabile in acciaio galvanizzato preverniciato. rispondenti ai CAM Reazione al fuoco Euroclasse A1 secondo norma europea EN 13501-1 Lato da 20 mm. spessore 0.5 mm. lunghezza 3050 mm. colori bianco o bianco opaco. sezione 20x34x20
SAR24_PR.0067.0002.0007,PR,CONTROSOFFITTI,Struttura di sostegno,Pendino regolabile con molla e doppio gancio. per la regolazione dell'altezza per sospensione struttura da controsoffitto in acciaio galvanizzato preverniciato. rispondenti ai CAM Reazione al fuoco Euroclasse A1 secondo norma europea EN 13501-1 Lunghezze 90-140 mm. 120-200 mm. 180-320 mm. 330-620 mm
SAR24_PR.0067.0002.0008,PR,CONTROSOFFITTI,Struttura di sostegno,Clip antisollevamento per pannelli per la distribuzione ottimale della pressione. rispondenti ai CAM Reazione al fuoco Euroclasse A1 (acciaio) secondo norma europea EN 13501-1 Per pannelli da 40 mm. in plastica
SAR24_PR.0067.0002.0009,PR,CONTROSOFFITTI,Struttura di sostegno,Molla a muro per installazione controssoffittii
SAR24_PR.0067.0002.0010,PR,CONTROSOFFITTI,Struttura di sostegno,Staffa a parete di collegamento  per installazione controssoffitti
SAR24_PR.0067.0003.0001,PR,CONTROSOFFITTI,SISTEMA CONTROPARETE ACOUSTIC,SISTEMA CONTROPARETE  ANTIPALLA in lana in legno mineralizzata fonoassorbente in aderenza. dimensioni pannello 1200mmx600mmx35mm con lavorazione bordi smussati sui 4 lati
SAR24_PR.0067.0003.0002,PR,CONTROSOFFITTI,SISTEMA CONTROPARETE ACOUSTIC,SISTEMA CONTROPARETE   in lana in legno mineralizzata fonoassorbente in aderenza con struttura metallica nascosta e pannelli avitati. dimensioni pannello 1200mmx600mmx50mm con lavorazione bordi smussati sui 4 lati (legno cemento spess 25mm+ lana di roccia spess 25 mm)
SAR24_PR.0067.0004.0001,PR,CONTROSOFFITTI,Controsoffitto con pannelli in lana di roccia rispondente ai CAM,Controsoffitto modulare ispezionabile in pannelli in lana di roccia. rispondenti ai CAM Reazione al fuoco Euroclasse A1 secondo norma europea EN 13501-1; Pannello con elevate caratteristiche di assorbimento acustico in Classe A secondo norma EN ISO 11654. ?w: 1.00; stabile fino al 100% di UR Dimensioni 600x600 mm. finitura liscia bianca. bordo dritto per posa a vista - spessore 20 mm
SAR24_PR.0067.0004.0002,PR,CONTROSOFFITTI,Controsoffitto con pannelli in lana di roccia rispondente ai CAM,Controsoffitto modulare ispezionabile in pannelli in lana di roccia. rispondenti ai CAM Reazione al fuoco Euroclasse A1 secondo norma europea EN 13501-1; Pannello con elevate caratteristiche di assorbimento acustico in Classe A secondo norma EN ISO 11654. ?w: 1.00; stabile fino al 100% di UR Dimensioni 600x600 mm. finitura liscia bianca. bordo ribassato per posa seminascosta - spessore 20 mm
SAR24_PR.0067.0004.0003,PR,CONTROSOFFITTI,Controsoffitto con pannelli in lana di roccia rispondente ai CAM,Controsoffitto modulare ispezionabile in pannelli in lana di roccia. rispondenti ai CAM Reazione al fuoco Euroclasse A1 secondo norma europea EN 13501-1; Pannello con elevate caratteristiche di assorbimento acustico in Classe A secondo norma EN ISO 11654. ?w: 1.00; stabile fino al 100% di UR Dimensioni 600x600 mm. finitura liscia extra bianca. bordo dritto per posa a vista - spessore 20 mm
