codice_analisi,codice_elemento,quantita,prezzo_unitario,importo
SAR24_AT.0002.0002.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,MOTOPOMPA o elettropompa. di prevalenza fino a 20 m. per esaurimento di acque chiare esclusi consumi. dotazioni e il personale addetto con bocca erogazione fino a 100 mm
SAR24_AT.0002.0002.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,MOTOPOMPA o elettropompa. di prevalenza fino a 25 m. per esaurimento di acque chiare esclusi consumi. dotazioni e il personale addetto con bocca erogazione SINO A 150 mm
SAR24_AT.0002.0002.0004,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,MOTOPOMPA o elettropompa. di prevalenza fino a 20 m. per esaurimento di acque chiare esclusi consumi. dotazioni e il personale addetto con bocca erogazione SINO A 200 mm
SAR24_AT.0002.0002.0005,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,MOTOPOMPA o elettropompa. di prevalenza fino a 25 m. per esaurimento di acque chiare esclusi consumi. dotazioni e il personale addetto con bocca erogazione SINO A 250 mm
SAR24_AT.0002.0002.0006,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Motopompa o elettropompa,MOTOPOMPA o elettropompa. di prevalenza fino a 20 m. per esaurimento di acque chiare esclusi consumi. dotazioni e il personale addetto con bocca erogazione SINO A 300 mm
SAR24_AT.0002.0003.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per sollevamento materiale,AUTOGRU TELESCOPICA AUTOCARRATA esclusi il conducente/operatore. consumi di carburante e lubrificanti. ricambi. manutenzione. assicurazione e bollo con braccio fino a 40 m e portata 100 t
SAR24_AT.0002.0003.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per sollevamento materiale,AUTOGRU TELESCOPICA AUTOCARRATA esclusi il conducente/operatore. consumi di carburante e lubrificanti. ricambi. manutenzione. assicurazione e bollo con braccio fino a 25 m e portata 30 t
SAR24_AT.0002.0003.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per sollevamento materiale,AUTOGRU TELESCOPICA AUTOCARRATA esclusi il conducente/operatore. consumi di carburante e lubrificanti. ricambi. manutenzione. assicurazione e bollo con braccio fino a 22 m e portata 20 t
SAR24_AT.0002.0003.0004,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per sollevamento materiale,AUTOGRU TELESCOPICA AUTOCARRATA esclusi il conducente/operatore. consumi di carburante e lubrificanti. ricambi. manutenzione. assicurazione e bollo con braccio fino a 32 m e portata 40 t
SAR24_AT.0002.0004.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,NOLO A FREDDO DI ATTREZZATURA DI PERFORAZIONE di pali per diametri fino 600 mm
SAR24_AT.0002.0004.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,NOLO A FREDDO DI ATTREZZATURA DI PERFORAZIONE di pali per diametri da 600 a 1500 mm
